Date : 2023-08-05 21:16:21
Directory : /Users/weapp/ownProjects/seek-backend/src
Total : 126 files,  4386 codes, 102 comments, 533 blanks, all 5021 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        126 |      4,386 |        102 |        533 |      5,021 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/weapp/ownProjects/seek-backend/src/routes/api/functions/fileUpload.ts             | TypeScript |         12 |          0 |          4 |         16 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/functions/index.ts                  | TypeScript |          7 |          0 |          3 |         10 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/functions/maps.ts                   | TypeScript |          8 |          0 |          3 |         11 |
| /Users/weapp/ownProjects/seek-backend/src/routes/api/index.ts                            | TypeScript |         10 |          0 |          3 |         13 |
| /Users/weapp/ownProjects/seek-backend/src/services/auth.ts                               | TypeScript |         13 |          0 |          3 |         16 |
| /Users/weapp/ownProjects/seek-backend/src/services/cronJob.ts                            | TypeScript |         45 |          3 |          5 |         53 |
| /Users/weapp/ownProjects/seek-backend/src/services/db/db.ts                              | TypeScript |        144 |          0 |         10 |        154 |
| /Users/weapp/ownProjects/seek-backend/src/services/db/users.ts                           | TypeScript |         51 |          0 |          8 |         59 |
| /Users/weapp/ownProjects/seek-backend/src/services/email.ts                              | TypeScript |         38 |          0 |         10 |         48 |
| /Users/weapp/ownProjects/seek-backend/src/services/fileUpload.ts                         | TypeScript |         33 |          0 |          2 |         35 |
| /Users/weapp/ownProjects/seek-backend/src/services/index.ts                              | TypeScript |         11 |          0 |          1 |         12 |
| /Users/weapp/ownProjects/seek-backend/src/services/maps.ts                               | TypeScript |        167 |          0 |          9 |        176 |
| /Users/weapp/ownProjects/seek-backend/src/services/messages.ts                           | TypeScript |         45 |          0 |          3 |         48 |
| /Users/weapp/ownProjects/seek-backend/src/services/notification.ts                       | TypeScript |         70 |          1 |          6 |         77 |
| /Users/weapp/ownProjects/seek-backend/src/services/pairing.ts                            | TypeScript |         19 |          2 |          8 |         29 |
| /Users/weapp/ownProjects/seek-backend/src/services/question.ts                           | TypeScript |         13 |          0 |          3 |         16 |
| /Users/weapp/ownProjects/seek-backend/src/services/serverLanguages.ts                    | TypeScript |          7 |          1 |          2 |         10 |
| /Users/weapp/ownProjects/seek-backend/src/services/socket.ts                             | TypeScript |          0 |          0 |          1 |          1 |
| /Users/weapp/ownProjects/seek-backend/src/socket/index.ts                                | TypeScript |        137 |         13 |         15 |        165 |
| /Users/weapp/ownProjects/seek-backend/src/types/auth.ts                                  | TypeScript |          5 |          0 |          2 |          7 |
| /Users/weapp/ownProjects/seek-backend/src/types/code.ts                                  | TypeScript |          0 |          0 |          1 |          1 |
| /Users/weapp/ownProjects/seek-backend/src/types/common.ts                                | TypeScript |          4 |          0 |          1 |          5 |
| /Users/weapp/ownProjects/seek-backend/src/types/cronJob.ts                               | TypeScript |          7 |          0 |          1 |          8 |
| /Users/weapp/ownProjects/seek-backend/src/types/dictionary.ts                            | TypeScript |          3 |          0 |          1 |          4 |
| /Users/weapp/ownProjects/seek-backend/src/types/email.ts                                 | TypeScript |         20 |          0 |          7 |         27 |
